lat,long,elev,
408470229,-802625898,2697,
408470216,-802625887,2697,
408470202,-802625869,2697,
408470190,-802625848,2697,
408470175,-802625830,2697,
408470156,-802625813,2697,
408470136,-802625799,2697,
408470118,-802625786,2697,
408470105,-802625769,2697,
408470085,-802625752,2697,
408470059,-802625764,2699,
408470036,-802625744,2699,
408470010,-802625726,2698,
408469981,-802625715,2698,
408469952,-802625706,2697,
408469922,-802625696,2697,
408469893,-802625685,2697,
408469851,-802625693,2697,
408469819,-802625691,2697,
408469782,-802625692,2697,
408469745,-802625691,2698,
408469711,-802625691,2698,
408469673,-802625699,2698,
408469640,-802625712,2698,
408469605,-802625727,2698,
408469569,-802625744,2698,
408469532,-802625763,2698,
408469499,-802625776,2697,
408469461,-802625805,2697,
408469424,-802625831,2697,
408469400,-802625872,2698,
408469366,-802625903,2699,
408469331,-802625938,2698,
408469299,-802625976,2698,
408469265,-802626016,2698,
408469231,-802626052,2697,
408469195,-802626089,2697,
408469157,-802626127,2697,
408469121,-802626165,2697,
408469084,-802626204,2696,
408469058,-802626223,2699,
408469021,-802626271,2699,
408468984,-802626314,2699,
408468948,-802626354,2699,
408468911,-802626396,2699,
408468873,-802626440,2698,
408468837,-802626485,2698,
408468798,-802626529,2698,
408468760,-802626574,2698,
408468723,-802626620,2698,
408468711,-802626662,2700,
408468672,-802626711,2700,
408468634,-802626757,2700,
408468596,-802626800,2699,
408468558,-802626847,2699,
408468518,-802626897,2699,
408468479,-802626942,2699,
408468441,-802626988,2699,
408468404,-802627036,2699,
408468361,-802627083,2699,
408468336,-802627130,2701,
408468296,-802627180,2701,
408468258,-802627225,2701,
408468219,-802627271,2701,
408468179,-802627320,2701,
408468141,-802627367,2700,
408468104,-802627414,2700,
408468066,-802627459,2700,
408468026,-802627507,2700,
408467988,-802627554,2700,
408467953,-802627610,2699,
408467914,-802627658,2699,
408467875,-802627703,2699,
408467838,-802627748,2699,
408467798,-802627795,2699,
408467762,-802627842,2699,
408467725,-802627886,2699,
