lat,long,elev,timediff,,,,
404420347,-797608974,3285,48:42.9,,,,
404420347,-797608974,3285,48:42.9,,,,
404420347,-797608974,3285,48:43.0,,,,
404420347,-797608974,3285,48:43.0,,,,
404420347,-797608974,3285,48:43.4,,,,
404420347,-797608974,3285,48:43.4,,,,
404420347,-797608974,3285,48:43.5,,,,
404420347,-797608974,3285,48:43.5,,,,
404420347,-797608974,3285,48:43.5,,,,
404420347,-797608974,3285,48:43.9,,,,
404420347,-797608974,3285,48:43.9,,,,
404420347,-797608974,3285,48:43.9,,,,
404420347,-797608974,3285,48:43.9,,,,
404420347,-797608974,3285,48:43.9,,,,
404420347,-797608974,3285,48:44.4,,,,
404420347,-797608974,3285,48:44.4,,,,
404420347,-797608974,3285,48:44.4,,,,
404420347,-797608974,3285,48:44.4,,,,
404420347,-797608974,3285,48:44.4,,,,
404420347,-797608974,3285,48:44.9,,,,
404420347,-797608974,3285,48:44.9,,,,
404420347,-797608974,3285,48:44.9,,,,
404420347,-797608974,3285,48:44.9,,,,
404420347,-797608974,3285,48:44.9,,,,
404420347,-797608974,3285,48:45.4,,,,
404420347,-797608974,3285,48:45.4,,,,
404420347,-797608974,3285,48:45.4,,,,
404420347,-797608974,3285,48:45.4,,,,
404420347,-797608974,3285,48:45.4,,,,
404420347,-797608974,3285,48:45.9,,,,
404420347,-797608974,3285,48:45.9,,,,
404420347,-797608974,3285,48:45.9,,,,
404420347,-797608974,3285,48:45.9,,,,
404420347,-797608974,3285,48:45.9,,,,
404420347,-797608974,3285,48:46.4,,,,
404420347,-797608974,3285,48:46.4,,,,
404420347,-797608974,3285,48:46.4,,,,
404420347,-797608974,3285,48:46.4,,,,
404420347,-797608974,3285,48:46.4,,,,
404420347,-797608974,3285,48:46.5,,,,
404420347,-797608974,3285,48:46.6,,,,
404420347,-797608974,3285,48:46.7,,,,
404420347,-797608974,3285,48:46.8,,,,
404420347,-797608974,3285,48:46.9,,,,
404420347,-797608974,3285,48:47.0,,,,
404420347,-797608974,3285,48:47.1,,,,
404420347,-797608974,3285,48:47.2,,,,
404420347,-797608974,3285,48:47.3,,,,
404420347,-797608974,3285,48:47.4,,,,
404420347,-797608974,3285,48:47.5,,,,
404420347,-797608974,3285,48:47.6,,,,
404420347,-797608974,3285,48:47.7,,,,
404420347,-797608974,3285,48:47.8,,,,
404420347,-797608974,3285,48:47.9,,,,
404420347,-797608974,3285,48:48.0,,,,
404420347,-797608974,3285,48:48.1,,,,
404420347,-797608974,3285,48:48.2,,,,
404420347,-797608974,3285,48:48.3,,,,
404420347,-797608974,3285,48:48.4,,,,
404420347,-797608974,3285,48:48.5,,,,
404420347,-797608974,3285,48:48.6,,,,
404420347,-797608974,3285,48:48.7,,,,
404420347,-797608974,3285,48:48.8,,,,
404420347,-797608974,3285,48:48.9,,,,
404420347,-797608974,3285,48:49.0,,,,
404420347,-797608974,3285,48:49.1,,,,
404420347,-797608974,3285,48:49.2,,,,
404420347,-797608974,3285,48:49.3,,,,
404420347,-797608974,3285,48:49.4,,,,
404420347,-797608974,3285,48:49.5,,,,
404420347,-797608974,3285,48:49.6,,,,
404420347,-797608974,3285,48:49.7,,,,
404420347,-797608974,3285,48:49.8,,,,
404420347,-797608974,3285,48:49.9,,,,
404420347,-797608974,3285,48:50.0,,,,
404420347,-797608974,3285,48:50.1,,,,
404420347,-797608974,3285,48:50.2,,,,
404420347,-797608974,3285,48:50.3,,,,
404420347,-797608974,3285,48:50.4,,,,
404420347,-797608974,3285,48:50.5,,,,
404420347,-797608974,3285,48:50.6,,,,
404420347,-797608974,3285,48:50.7,,,,
404420347,-797608974,3285,48:50.8,,,,
404420347,-797608974,3285,48:50.9,,,,
404420347,-797608974,3285,48:51.0,,,,
404420347,-797608974,3285,48:51.1,,,,
404420347,-797608974,3285,48:51.2,,,,
404420347,-797608974,3285,48:51.3,,,,
404420347,-797608974,3285,48:51.4,,,,
404420347,-797608974,3285,48:51.5,,,,
404420347,-797608974,3285,48:51.6,,,,
404420347,-797608974,3285,48:51.7,,,,
404420347,-797608974,3285,48:51.8,,,,
404420347,-797608974,3285,48:51.9,,,,
404420347,-797608974,3285,48:52.0,,,,
404420347,-797608974,3285,48:52.1,,,,
404420347,-797608973,3285,48:52.2,,,,
404420347,-797608973,3285,48:52.3,,,,
404420347,-797608973,3285,48:52.4,,,,
404420347,-797608973,3285,48:52.5,,,,
404420347,-797608973,3285,48:52.6,,,,
404420347,-797608973,3285,48:52.7,,,,
404420347,-797608973,3285,48:52.8,,,,
404420347,-797608973,3285,48:52.9,,,,
404420347,-797608973,3285,48:53.0,,,,
404420347,-797608973,3285,48:53.1,,,,
404420347,-797608973,3285,48:53.2,,,,
404420347,-797608973,3285,48:53.3,,,,
404420347,-797608973,3285,48:53.4,,,,
404420347,-797608973,3285,48:53.5,,,,
404420347,-797608973,3285,48:53.6,,,,
404420347,-797608973,3285,48:53.7,,,,
404420347,-797608973,3285,48:53.8,,,,
404420347,-797608973,3285,48:53.9,,,,
404420347,-797608973,3285,48:54.0,,,,
404420347,-797608973,3285,48:54.1,,,,
404420347,-797608973,3285,48:54.2,,,,
404420347,-797608973,3285,48:54.3,,,,
404420347,-797608973,3285,48:54.4,,,,
404420347,-797608973,3285,48:54.5,,,,
404420346,-797608973,3285,48:54.6,,,,
404420346,-797608973,3285,48:54.7,,,,
404420346,-797608973,3285,48:54.8,,,,
404420346,-797608973,3285,48:54.9,,,,
404420346,-797608973,3285,48:55.0,,,,
404420346,-797608973,3285,48:55.1,,,,
404420346,-797608973,3285,48:55.2,,,,
404420346,-797608973,3285,48:55.3,,,,
404420346,-797608973,3285,48:55.4,,,,
404420346,-797608973,3285,48:55.5,,,,
404420346,-797608973,3285,48:55.6,,,,
404420346,-797608973,3285,48:55.7,,,,
404420346,-797608973,3285,48:55.8,,,,
404420346,-797608973,3285,48:55.9,,,,
404420346,-797608973,3285,48:56.0,,,,
404420346,-797608973,3285,48:56.1,,,,
404420346,-797608973,3285,48:56.2,,,,
404420346,-797608973,3285,48:56.3,,,,
404420346,-797608973,3285,48:56.4,,,,
404420346,-797608973,3285,48:56.5,,,,
404420346,-797608973,3285,48:56.6,,,,
404420346,-797608973,3285,48:56.7,,,,
404420346,-797608973,3285,48:56.8,,,,
404420346,-797608973,3285,48:56.9,,,,
404420346,-797608973,3285,48:57.0,,,,
404420346,-797608973,3285,48:57.1,,,,
404420346,-797608973,3285,48:57.2,,,,
404420346,-797608973,3285,48:57.3,,,,
404420346,-797608973,3285,48:57.4,,,,
404420346,-797608973,3285,48:57.5,,,,
404420346,-797608973,3285,48:57.6,,,,
404420346,-797608973,3285,48:57.7,,,,
404420346,-797608973,3285,48:57.8,,,,
404420346,-797608973,3285,48:57.9,,,,
404420346,-797608973,3285,48:58.0,,,,
404420346,-797608973,3285,48:58.1,,,,
404420346,-797608973,3285,48:58.2,,,,
404420346,-797608973,3285,48:58.3,,,,
404420346,-797608973,3285,48:58.4,,,,
404420346,-797608973,3285,48:58.5,,,,
404420346,-797608973,3285,48:58.6,,,,
404420346,-797608973,3285,48:58.7,,,,
404420346,-797608973,3285,48:58.8,,,,
404420346,-797608973,3285,48:58.9,,,,
404420346,-797608973,3285,48:59.0,,,,
404420346,-797608973,3285,48:59.1,,,,
404420346,-797608973,3285,48:59.2,,,,
404420346,-797608973,3285,48:59.3,,,,
404420346,-797608973,3285,48:59.4,,,,
404420346,-797608973,3285,48:59.5,,,,
404420346,-797608973,3285,48:59.6,,,,
404420346,-797608973,3285,48:59.7,,,,
404420346,-797608973,3285,48:59.8,,,,
404420346,-797608973,3285,48:59.9,,,,
404420346,-797608973,3285,49:00.0,,,,
404420346,-797608973,3285,49:00.1,,,,
404420346,-797608973,3285,49:00.2,,,,
404420346,-797608973,3285,49:00.3,,,,
404420346,-797608973,3285,49:00.4,,,,
404420346,-797608973,3285,49:00.5,,,,
404420346,-797608973,3285,49:00.6,,,,
404420346,-797608973,3285,49:00.7,,,,
404420346,-797608973,3285,49:00.8,,,,
404420346,-797608973,3285,49:00.9,,,,
404420346,-797608973,3285,49:01.0,,,,
404420346,-797608973,3285,49:01.1,,,,
404420346,-797608973,3285,49:01.2,,,,
404420346,-797608973,3285,49:01.3,,,,
404420346,-797608973,3285,49:01.3,,,,
404420346,-797608973,3285,49:01.4,,,,
404420346,-797608973,3285,49:01.5,,,,
404420346,-797608973,3285,49:01.6,,,,
404420346,-797608973,3285,49:01.7,,,,
404420346,-797608973,3285,49:01.9,,,,
404420346,-797608973,3285,49:01.9,,,,
404420346,-797608973,3285,49:02.0,,,,
404420346,-797608973,3285,49:02.1,,,,
404420346,-797608973,3285,49:02.2,,,,
404420346,-797608973,3285,49:02.3,,,,
404420346,-797608973,3285,49:02.4,,,,
404420346,-797608973,3285,49:02.5,,,,
404420346,-797608973,3285,49:02.6,,,,
404420346,-797608973,3285,49:02.8,,,,
404420346,-797608973,3285,49:02.8,,,,
404420346,-797608973,3285,49:02.9,,,,
404420346,-797608973,3285,49:03.1,,,,
404420346,-797608973,3285,49:03.2,,,,
404420346,-797608973,3285,49:03.2,,,,
404420346,-797608973,3285,49:03.3,,,,
404420346,-797608973,3285,49:03.5,,,,
404420346,-797608973,3285,49:03.5,,,,
404420346,-797608973,3285,49:03.6,,,,
404420346,-797608973,3285,49:03.7,,,,
404420346,-797608973,3285,49:03.8,,,,
404420346,-797608973,3285,49:04.0,,,,
404420346,-797608973,3285,49:04.0,,,,
404420346,-797608973,3285,49:04.1,,,,
404420346,-797608973,3285,49:04.2,,,,
404420346,-797608973,3285,49:04.3,,,,
404420346,-797608973,3285,49:04.4,,,,
404420346,-797608973,3285,49:04.5,,,,
404420346,-797608973,3285,49:04.7,,,,
404420346,-797608973,3285,49:04.7,,,,
404420346,-797608973,3285,49:04.9,,,,
404420346,-797608973,3285,49:04.9,,,,
404420346,-797608973,3285,49:05.0,,,,
404420346,-797608973,3285,49:05.1,,,,
404420346,-797608973,3285,49:05.3,,,,
404420346,-797608973,3285,49:05.3,,,,
404420346,-797608973,3285,49:05.4,,,,
404420346,-797608973,3285,49:05.6,,,,
404420346,-797608973,3285,49:05.6,,,,
404420346,-797608973,3285,49:05.7,,,,
404420346,-797608973,3285,49:05.8,,,,
404420346,-797608973,3285,49:05.9,,,,
404420346,-797608973,3285,49:06.0,,,,
404420346,-797608973,3285,49:06.2,,,,
404420346,-797608973,3285,49:06.2,,,,
404420346,-797608973,3285,49:06.4,,,,
404420346,-797608973,3285,49:06.5,,,,
404420346,-797608973,3285,49:06.5,,,,
404420346,-797608973,3285,49:06.6,,,,
404420346,-797608973,3285,49:06.7,,,,
404420346,-797608973,3285,49:06.9,,,,
404420346,-797608973,3285,49:07.0,,,,
404420346,-797608973,3285,49:07.1,,,,
404420346,-797608973,3285,49:07.2,,,,
404420346,-797608973,3285,49:07.2,,,,
404420346,-797608973,3285,49:07.3,,,,
404420346,-797608973,3285,49:07.4,,,,
404420346,-797608973,3285,49:07.5,,,,
404420346,-797608973,3285,49:07.6,,,,
404420346,-797608973,3285,49:07.7,,,,
404420346,-797608973,3285,49:07.9,,,,
404420346,-797608973,3285,49:07.9,,,,
404420346,-797608973,3285,49:08.0,,,,
404420346,-797608973,3285,49:08.1,,,,
404420346,-797608973,3285,49:08.2,,,,
404420346,-797608973,3285,49:08.3,,,,
404420346,-797608973,3285,49:08.4,,,,
404420346,-797608973,3285,49:08.5,,,,
404420346,-797608973,3285,49:08.6,,,,
404420346,-797608973,3285,49:08.7,,,,
404420346,-797608973,3285,49:08.8,,,,
