lat,long,elev,time
408649836,-778359497,3355,4.62
408649796,-778359653,3355,4.63
408649758,-778359803,3355,4.64
408649718,-778359955,3354,4.65
408649675,-778360109,3354,4.66
408649635,-778360258,3354,4.67
408649592,-778360411,3354,4.68
408649550,-778360560,3354,4.69
408649507,-778360711,3353,4.7
408649464,-778360859,3354,4.71
408649421,-778361004,3353,4.72
408649377,-778361156,3353,4.73
408649333,-778361303,3353,4.74
408649289,-778361454,3353,4.75
408649242,-778361604,3353,4.76
408649198,-778361750,3353,4.77
408649154,-778361900,3352,4.78
408649108,-778362045,3352,4.79
408649060,-778362196,3352,4.8
408649014,-778362343,3353,4.81
408648965,-778362486,3352,4.82
408648916,-778362634,3352,4.83
408648866,-778362779,3352,4.84
408648817,-778362925,3351,4.85
408648765,-778363072,3351,4.86
408648714,-778363215,3351,4.87
408648662,-778363361,3351,4.88
408648611,-778363506,3351,4.89
408648559,-778363647,3351,4.9
408648508,-778363791,3351,4.91
408648452,-778363931,3350,4.92
408648397,-778364073,3350,4.93
408648340,-778364216,3350,4.94
408648284,-778364355,3350,4.95
408648225,-778364497,3350,4.96
408648169,-778364633,3350,4.97
408648108,-778364770,3350,4.98
408648046,-778364911,3349,4.99
408647986,-778365046,3349,5
408647927,-778365186,3350,5.01
408647861,-778365318,3349,5.02
408647798,-778365453,3349,5.03
408647731,-778365590,3349,5.04
408647664,-778365724,3349,5.05
408647596,-778365860,3349,5.06
408647527,-778365994,3349,5.07
408647457,-778366126,3349,5.08
408647386,-778366260,3349,5.09
408647317,-778366390,3348,5.1
408647247,-778366521,3348,5.11
408647171,-778366651,3348,5.12
408647097,-778366779,3348,5.13
408647020,-778366907,3348,5.14
408646944,-778367033,3348,5.15
408646863,-778367161,3348,5.16
408646785,-778367289,3348,5.17
408646704,-778367415,3348,5.18
408646622,-778367542,3348,5.19
408646542,-778367665,3347,5.2
408646464,-778367789,3348,5.21
408646377,-778367909,3348,5.22
408646291,-778368036,3348,5.23
408646205,-778368160,3348,5.24
408646120,-778368279,3348,5.25
408646033,-778368399,3347,5.26
408645946,-778368517,3347,5.27
408645856,-778368640,3347,5.28
408645767,-778368759,3347,5.29
408645678,-778368877,3347,5.3
